Label name,Issues,Description,SME,Team,Platform,Blanks,Issue count
in:signing-plugin,issues,,Bálint,,Software,1,11
in:smoke-test,issues,,,,Release coordination,,
in:source-dependencies,issues,,Sterling,,Software,1,9
in:test-kit,issues,,Paul,,Extensibility,1,21
in:test-suites,issues,Work related to the JvmTestSuite Plugin,Tom,Core,Software,0,8
in:testing,issues,,,Core,Software,1,77
in:testing-junit4,issues,,,Core,JVM,1,4
in:testing-junit5,issues,junit platform vintage jupiter,,Core,JVM,1,11
in:testing-testng,issues,,,Core,JVM,1,2
in:toolchains,issues,Java Toolchains,"Louis, Mike, József",,JVM,1,38
in:tooling-api,issues,,Donát,,IDE,1,34
in:virtual-file-system,issues,"VFS,  file system watching, snapshots",,Execution,Core/execution,1,13
in:war-plugin,issues,,Donát ,,JVM,1,8
in:work-validation,issues,,,Execution,Core/execution,,
in:workers,issues,,"Gary, Paul",,Core/execution,1,25
in:wrapper,issues,,Paul,,Core/runtime,1,30
in:writing-tasks,issues,task option,,Execution,Core/execution,1,24
